DID,Date,BW_REQUESTED
235038367,2024-10-12 09:45:00,57.1815
235038808,2024-10-12 09:50:00,2979.68
235009876,2024-10-12 09:50:00,2288.99
235038589,2024-10-12 09:50:00,13342.8
235041021,2024-10-12 09:50:00,2366.26
235010468,2024-10-12 09:50:00,6.96039
235038878,2024-10-12 09:50:00,23.1081
235010148,2024-10-12 09:50:00,0.0878125
235039630,2024-10-12 09:50:00,0.01375
235054776,2024-10-12 09:50:00,6181.26
235038367,2024-10-12 09:50:00,374.957
235010468,2024-10-12 09:55:00,27.3073
235038808,2024-10-12 09:55:00,5712.5
235009876,2024-10-12 09:55:00,2322.27
235038589,2024-10-12 09:55:00,993.432
235041021,2024-10-12 09:55:00,1610.47
235038367,2024-10-12 09:55:00,1087.08
235010148,2024-10-12 09:55:00,0.0584375
235039630,2024-10-12 09:55:00,0.0175
235054776,2024-10-12 09:55:00,5921.0
235038878,2024-10-12 09:55:00,17.6723
235038589,2024-10-12 10:00:00,205.896
235010468,2024-10-12 10:00:00,27.973
235038808,2024-10-12 10:00:00,464.735
235041021,2024-10-12 10:00:00,27654.2
235009876,2024-10-12 10:00:00,1132.0
235038878,2024-10-12 10:00:00,14.7748
235054776,2024-10-12 10:00:00,16783.0
235039630,2024-10-12 10:00:00,0.02
235038367,2024-10-12 10:00:00,2095.63
235010148,2024-10-12 10:00:00,0.0598958
235054776,2024-10-12 10:05:00,6506.72
235039630,2024-10-12 10:05:00,0.01625
235010148,2024-10-12 10:05:00,0.057474
235038878,2024-10-12 10:05:00,146.599
235038367,2024-10-12 10:05:00,1432.01
235041021,2024-10-12 10:05:00,7572.34
235038589,2024-10-12 10:05:00,202.142
235009876,2024-10-12 10:05:00,1883.48
235038808,2024-10-12 10:05:00,120.69
235010468,2024-10-12 10:05:00,5.86036
235010468,2024-10-12 10:10:00,4.50552
235038808,2024-10-12 10:10:00,726.155
235009876,2024-10-12 10:10:00,2422.41
235038589,2024-10-12 10:10:00,18.5613
235041021,2024-10-12 10:10:00,697.514
235039630,2024-10-12 10:10:00,0.013125
235038878,2024-10-12 10:10:00,493.852
235010148,2024-10-12 10:10:00,0.0879427
235054776,2024-10-12 10:10:00,2705.05
235038367,2024-10-12 10:10:00,274.441
235038589,2024-10-12 10:15:00,23.504
235010468,2024-10-12 10:15:00,8.59083
235038808,2024-10-12 10:15:00,6260.25
235009876,2024-10-12 10:15:00,5372.87
235041021,2024-10-12 10:15:00,2855.26
235039630,2024-10-12 10:15:00,0.0175
235038878,2024-10-12 10:15:00,40.634
235010148,2024-10-12 10:15:00,0.14888
235054776,2024-10-12 10:15:00,5296.13
235038367,2024-10-12 10:15:00,348.814
235010468,2024-10-12 10:20:00,6.92807
235038808,2024-10-12 10:20:00,1759.5
235009876,2024-10-12 10:20:00,6347.24
235038589,2024-10-12 10:20:00,66.2558
235041021,2024-10-12 10:20:00,65.0149
235038878,2024-10-12 10:20:00,426.045
235010148,2024-10-12 10:20:00,0.0610938
235039630,2024-10-12 10:20:00,0.018125
235054776,2024-10-12 10:20:00,9307.17
235038367,2024-10-12 10:20:00,22.7653
235038589,2024-10-12 10:25:00,21.479
235010468,2024-10-12 10:25:00,11.6992
235038808,2024-10-12 10:25:00,9455.93
235009876,2024-10-12 10:25:00,12970.3
235041021,2024-10-12 10:25:00,170.421
235039630,2024-10-12 10:25:00,0.018125
235038878,2024-10-12 10:25:00,2705.49
235054776,2024-10-12 10:25:00,26491.4
235038367,2024-10-12 10:25:00,1191.2
235010148,2024-10-12 10:25:00,0.0580729
235054776,2024-10-12 10:30:00,7658.27
235039630,2024-10-12 10:30:00,0.01875
235010148,2024-10-12 10:30:00,11.9936
235038878,2024-10-12 10:30:00,2115.04
235038367,2024-10-12 10:30:00,2232.42
235038589,2024-10-12 10:30:00,35.0352
235009876,2024-10-12 10:30:00,8992.34
235038808,2024-10-12 10:30:00,5889.9
235010468,2024-10-12 10:30:00,18.8291
235041021,2024-10-12 10:30:00,7495.09
235041021,2024-10-12 10:35:00,11210.4
235038808,2024-10-12 10:35:00,2562.49
235009876,2024-10-12 10:35:00,15321.5
235038589,2024-10-12 10:35:00,23.6027
235010468,2024-10-12 10:35:00,43.6398
235038367,2024-10-12 10:35:00,4019.24
235010148,2024-10-12 10:35:00,0.0704167
235039630,2024-10-12 10:35:00,0.021875
235054776,2024-10-12 10:35:00,15594.3
235038878,2024-10-12 10:35:00,2017.25
235010468,2024-10-12 10:40:00,537.046
235038808,2024-10-12 10:40:00,8294.94
235009876,2024-10-12 10:40:00,4866.11
235038589,2024-10-12 10:40:00,2204.12
235041021,2024-10-12 10:40:00,14726.1
235038367,2024-10-12 10:40:00,5260.22
235010148,2024-10-12 10:40:00,2367.93
235039630,2024-10-12 10:40:00,0.02125
235054776,2024-10-12 10:40:00,7717.28
235038878,2024-10-12 10:40:00,3239.64
235009876,2024-10-12 10:45:00,2012.97
235010468,2024-10-12 10:45:00,17.6907
235038808,2024-10-12 10:45:00,704.985
235041021,2024-10-12 10:45:00,14721.1
235038589,2024-10-12 10:45:00,3505.91
235038878,2024-10-12 10:45:00,1773.87
235054776,2024-10-12 10:45:00,11714.7
235039630,2024-10-12 10:45:00,0.01875
235038367,2024-10-12 10:45:00,258.37
235010148,2024-10-12 10:45:00,3729.26
235054776,2024-10-12 10:50:00,17859.7
235039630,2024-10-12 10:50:00,0.020625
235010148,2024-10-12 10:50:00,24434.4
235038878,2024-10-12 10:50:00,2795.1
235038367,2024-10-12 10:50:00,427.696
235041021,2024-10-12 10:50:00,16991.8
235038589,2024-10-12 10:50:00,7175.6
235009876,2024-10-12 10:50:00,6679.17
235038808,2024-10-12 10:50:00,11851.9
235010468,2024-10-12 10:50:00,20.4595
235038589,2024-10-12 10:55:00,9531.02
235010468,2024-10-12 10:55:00,5.24828
235038808,2024-10-12 10:55:00,36.1445
235009876,2024-10-12 10:55:00,16659.6
235041021,2024-10-12 10:55:00,7133.5
235039630,2024-10-12 10:55:00,0.021875
235038878,2024-10-12 10:55:00,2845.59
235010148,2024-10-12 10:55:00,22847.5
235054776,2024-10-12 10:55:00,12522.7
235038367,2024-10-12 10:55:00,18.1934
235010468,2024-10-12 11:00:00,1.0118
235038589,2024-10-12 11:00:00,19.3391
235038808,2024-10-12 11:00:00,24.5516
235009876,2024-10-12 11:00:00,13663.7
235041021,2024-10-12 11:00:00,13643.7
235039630,2024-10-12 11:00:00,0.02125
235038878,2024-10-12 11:00:00,2097.84
235010148,2024-10-12 11:00:00,6859.09
235054776,2024-10-12 11:00:00,2957.44
235038367,2024-10-12 11:00:00,17.2984
235038589,2024-10-12 11:05:00,21.7454
235038808,2024-10-12 11:05:00,108.856
235009876,2024-10-12 11:05:00,7373.84
235041021,2024-10-12 11:05:00,4770.26
235010468,2024-10-12 11:05:00,2.35602
235038878,2024-10-12 11:05:00,2731.99
235010148,2024-10-12 11:05:00,12544.3
235039630,2024-10-12 11:05:00,0.019375
235054776,2024-10-12 11:05:00,3145.46
235038367,2024-10-12 11:05:00,36.2148
235010468,2024-10-12 11:10:00,4.5076
235038808,2024-10-12 11:10:00,1381.08
235038589,2024-10-12 11:10:00,26.3632
235009876,2024-10-12 11:10:00,12481.2
235041021,2024-10-12 11:10:00,15135.7
235039630,2024-10-12 11:10:00,0.02125
235038878,2024-10-12 11:10:00,4300.55
235054776,2024-10-12 11:10:00,10416.0
235038367,2024-10-12 11:10:00,15.1076
235010148,2024-10-12 11:10:00,11917.3
235054776,2024-10-12 11:15:00,4663.5
235039630,2024-10-12 11:15:00,0.020625
235010148,2024-10-12 11:15:00,13161.2
235038878,2024-10-12 11:15:00,1748.86
235041021,2024-10-12 11:15:00,4874.14
235038589,2024-10-12 11:15:00,41.8443
235009876,2024-10-12 11:15:00,11557.2
235038808,2024-10-12 11:15:00,1806.8
235010468,2024-10-12 11:15:00,558.09
235038367,2024-10-12 11:15:00,56.1334
235010468,2024-10-12 11:20:00,279.497
235038589,2024-10-12 11:20:00,972.179
235038808,2024-10-12 11:20:00,331.292
235009876,2024-10-12 11:20:00,13617.7
235041021,2024-10-12 11:20:00,2354.92
235038878,2024-10-12 11:20:00,3180.21
235010148,2024-10-12 11:20:00,13358.0
235039630,2024-10-12 11:20:00,0.021875
235054776,2024-10-12 11:20:00,9538.67
235038367,2024-10-12 11:20:00,1304.19
235010468,2024-10-12 11:25:00,30.6259
235038808,2024-10-12 11:25:00,85.0436
235009876,2024-10-12 11:25:00,14723.0
235038589,2024-10-12 11:25:00,586.342
235041021,2024-10-12 11:25:00,1119.93
235038367,2024-10-12 11:25:00,29.8154
235010148,2024-10-12 11:25:00,16769.8
235039630,2024-10-12 11:25:00,0.02125
235054776,2024-10-12 11:25:00,8227.63
235038878,2024-10-12 11:25:00,3306.38
235041021,2024-10-12 11:30:00,6829.94
235038808,2024-10-12 11:30:00,29.4361
235009876,2024-10-12 11:30:00,13639.7
235038589,2024-10-12 11:30:00,1186.0
235010468,2024-10-12 11:30:00,971.015
235038367,2024-10-12 11:30:00,840.629
235010148,2024-10-12 11:30:00,23776.4
235054776,2024-10-12 11:30:00,8612.44
235038878,2024-10-12 11:30:00,3891.62
235039630,2024-10-12 11:30:00,0.021875
235054776,2024-10-12 11:35:00,5599.43
235039630,2024-10-12 11:35:00,0.02125
235010148,2024-10-12 11:35:00,15482.1
235038878,2024-10-12 11:35:00,1333.85
235038367,2024-10-12 11:35:00,388.194
235041021,2024-10-12 11:35:00,10440.9
235038589,2024-10-12 11:35:00,194.104
235009876,2024-10-12 11:35:00,6723.58
235038808,2024-10-12 11:35:00,723.684
235010468,2024-10-12 11:35:00,5.23927
235038589,2024-10-12 11:40:00,1813.46
235010468,2024-10-12 11:40:00,7.9156
235038808,2024-10-12 11:40:00,1871.1
235009876,2024-10-12 11:40:00,3195.66
235041021,2024-10-12 11:40:00,24007.2
235039630,2024-10-12 11:40:00,0.021875
235038878,2024-10-12 11:40:00,1123.59
235010148,2024-10-12 11:40:00,32339.6
235054776,2024-10-12 11:40:00,5600.42
235038367,2024-10-12 11:40:00,29.7126
235010468,2024-10-12 11:45:00,3.26469
235038589,2024-10-12 11:45:00,625.064
235038808,2024-10-12 11:45:00,33.3521
235009876,2024-10-12 11:45:00,2645.37
235041021,2024-10-12 11:45:00,12656.5
235039630,2024-10-12 11:45:00,0.0175
235038878,2024-10-12 11:45:00,352.381
235010148,2024-10-12 11:45:00,16043.1
235054776,2024-10-12 11:45:00,3196.96
235038367,2024-10-12 11:45:00,43.1035
235038589,2024-10-12 11:50:00,66.6926
235038808,2024-10-12 11:50:00,41.1809
235009876,2024-10-12 11:50:00,771.39
235041021,2024-10-12 11:50:00,861.516
235010468,2024-10-12 11:50:00,40.7444
235038878,2024-10-12 11:50:00,886.759
235010148,2024-10-12 11:50:00,2215.27
235039630,2024-10-12 11:50:00,0.013125
235054776,2024-10-12 11:50:00,1800.2
235038367,2024-10-12 11:50:00,547.945
235010468,2024-10-12 11:55:00,268.431
235038808,2024-10-12 11:55:00,148.615
235038589,2024-10-12 11:55:00,66.3448
235009876,2024-10-12 11:55:00,487.857
235041021,2024-10-12 11:55:00,1011.7
235039630,2024-10-12 11:55:00,0.0175
235038878,2024-10-12 11:55:00,785.995
235054776,2024-10-12 11:55:00,1978.07
235038367,2024-10-12 11:55:00,116.797
235010148,2024-10-12 11:55:00,6899.6
235054776,2024-10-12 12:00:00,1222.48
235039630,2024-10-12 12:00:00,0.013125
235010148,2024-10-12 12:00:00,2439.67
235038878,2024-10-12 12:00:00,718.764
235038367,2024-10-12 12:00:00,119.272
235038589,2024-10-12 12:00:00,861.716
235009876,2024-10-12 12:00:00,2166.35
235038808,2024-10-12 12:00:00,142.173
235010468,2024-10-12 12:00:00,1044.13
235041021,2024-10-12 12:00:00,894.081
235010468,2024-10-12 12:05:00,401.306
235041021,2024-10-12 12:05:00,3239.08
235038808,2024-10-12 12:05:00,98.9887
235009876,2024-10-12 12:05:00,4294.0
235038589,2024-10-12 12:05:00,508.697
235038367,2024-10-12 12:05:00,1197.2
235010148,2024-10-12 12:05:00,2911.7
235039630,2024-10-12 12:05:00,0.01875
235054776,2024-10-12 12:05:00,1650.66
235038878,2024-10-12 12:05:00,575.828
235010468,2024-10-12 12:10:00,25.0874
235038808,2024-10-12 12:10:00,26.3522
235009876,2024-10-12 12:10:00,6785.53
235038589,2024-10-12 12:10:00,411.225
235041021,2024-10-12 12:10:00,12654.2
235038367,2024-10-12 12:10:00,977.038
235010148,2024-10-12 12:10:00,8987.17
235039630,2024-10-12 12:10:00,0.020625
235054776,2024-10-12 12:10:00,3490.16
235038878,2024-10-12 12:10:00,1171.85
235038589,2024-10-12 12:15:00,2449.72
235038808,2024-10-12 12:15:00,35.4972
235009876,2024-10-12 12:15:00,5423.12
235010468,2024-10-12 12:15:00,1943.68
235041021,2024-10-12 12:15:00,19581.8
235038878,2024-10-12 12:15:00,396.676
235010148,2024-10-12 12:15:00,8914.03
235039630,2024-10-12 12:15:00,0.02125
235054776,2024-10-12 12:15:00,3221.97
235038367,2024-10-12 12:15:00,780.573
235010468,2024-10-12 12:20:00,177.226
235038808,2024-10-12 12:20:00,17.8466
235009876,2024-10-12 12:20:00,3851.95
235038589,2024-10-12 12:20:00,2413.34
235041021,2024-10-12 12:20:00,10797.0
235038367,2024-10-12 12:20:00,17.673
235038878,2024-10-12 12:20:00,1437.84
235010148,2024-10-12 12:20:00,4321.59
